HomeTeam,AwayTeam,FTHG,FTAG,FTR
Napoli,Cagliari,1,0,H
Pisa,Roma,0,1,A
Genoa,Juventus,0,1,A
Torino,Fiorentina,0,0,D
Inter,Udinese,1,2,A
Lazio,Verona,4,0,H
Cagliari,Parma,2,0,H
Juventus,Inter,4,3,H
Fiorentina,Napoli,1,3,A
Roma,Torino,0,1,A
Atalanta,Lecce,4,1,H
Pisa,Udinese,0,1,A
Sassuolo,Lazio,1,0,H
Milan,Bologna,1,0,H
Verona,Cremonese,0,0,D
Como,Genoa,1,1,D
Lecce,Cagliari,1,2,A
Bologna,Genoa,2,1,H
Verona,Juventus,1,1,D
Udinese,Milan,0,3,A
Lazio,Roma,0,1,A
Cremonese,Parma,0,0,D
Torino,Atalanta,0,3,A
Fiorentina,Como,1,2,A
Inter,Sassuolo,2,1,H
Napoli,Pisa,3,2,H
Como,Cremonese,1,1,D
Juventus,Atalanta,1,1,D
Cagliari,Inter,0,2,A
Sassuolo,Udinese,3,1,H
Pisa,Fiorentina,0,0,D
Roma,Verona,2,0,H
Lecce,Bologna,2,2,D
Milan,Napoli,2,1,H
Parma,Torino,2,1,H
Genoa,Lazio,0,3,A
Verona,Sassuolo,0,1,A
Lazio,Torino,3,3,D
Parma,Lecce,0,1,A
Inter,Cremonese,4,1,H
Atalanta,Como,1,1,D
Udinese,Cagliari,1,1,D
Bologna,Pisa,4,0,H
Fiorentina,Roma,1,2,A
Napoli,Genoa,2,1,H
Juventus,Milan,0,0,D
Lecce,Sassuolo,0,0,D
Pisa,Verona,0,0,D
Torino,Napoli,1,0,H
Roma,Inter,0,1,A
Como,Juventus,2,0,H
Cagliari,Bologna,0,2,A
Genoa,Parma,0,0,D
Atalanta,Lazio,0,0,D
Milan,Fiorentina,2,1,H
Cremonese,Udinese,1,1,D
Milan,Pisa,2,2,D
Parma,Como,0,0,D
Udinese,Lecce,3,2,H
Napoli,Inter,3,1,H
Cremonese,Atalanta,1,1,D
Torino,Genoa,2,1,H
Sassuolo,Roma,0,1,A
Verona,Cagliari,2,2,D
Fiorentina,Bologna,2,2,D
Lazio,Juventus,1,0,H
Lecce,Napoli,0,1,A
Atalanta,Milan,1,1,D
Como,Verona,3,1,H
Juventus,Udinese,3,1,H
Roma,Parma,2,1,H
Bologna,Torino,0,0,D
Genoa,Cremonese,0,2,A
Inter,Fiorentina,3,0,H
Cagliari,Sassuolo,1,2,A
Pisa,Lazio,0,0,D
Udinese,Atalanta,1,0,H
Napoli,Como,0,0,D
Cremonese,Juventus,1,2,A
Verona,Inter,1,2,A
Fiorentina,Lecce,0,1,A
Torino,Pisa,2,2,D
Parma,Bologna,1,3,A
Milan,Roma,1,0,H
Sassuolo,Genoa,1,2,A
Lazio,Cagliari,2,0,H
Pisa,Cremonese,1,0,H
Como,Cagliari,0,0,D
Lecce,Verona,0,0,D
Juventus,Torino,0,0,D
Parma,Milan,2,2,D
Atalanta,Sassuolo,0,3,A
Bologna,Napoli,2,0,H
Genoa,Fiorentina,2,2,D
Roma,Udinese,2,0,H
Inter,Lazio,2,0,H
Cagliari,Genoa,3,3,D
Udinese,Bologna,0,3,A
Fiorentina,Juventus,1,1,D
Napoli,Atalanta,3,1,H
Verona,Parma,1,2,A
Cremonese,Roma,1,3,A
Lazio,Lecce,2,0,H
Inter,Milan,0,1,A
Torino,Como,1,5,A
Sassuolo,Pisa,2,2,D
